range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
000_3.0 AG-915-E06 AG-912-F16 AG-916-M06 AG-894-C14 AG-918-L21 AG-893-N22 AG-918-K09 AG-920-K11 AG-920-O11 AG-903-K22 2.85526 2.74514 0.577778 28 60.6667 28 155
000_3.0 AG-913-A04 AG-916-J06 AG-917-P07 AG-917-C11 AG-894-M23 AG-913-C03 AG-917-C08 AG-359-C09 AG-414-O11 AG-911-B04 3.13643 2.94513 0.601587 28 55.6667 43 86
000_3.0 AG-913-A04 AG-916-J06 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-P07 AG-917-C11 AG-359-C09 AG-414-O11 AG-911-B04 3.22961 3.05711 0.666667 0 70 0 92
000_3.0 AG-915-E06 AG-912-F16 AG-916-M06 AG-894-C14 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 AG-903-K22 2.85018 2.74825 0.666667 0 70 0 155
000_3.0 AG-913-A04 AG-916-J06 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-C11 AG-359-C09 AG-414-O11 AG-911-B04 3.13643 3.07602 0.666667 0 70 0 110
000_3.0 AG-918-L07 AG-911-B04 AG-414-O11 AG-911-B23 AG-894-M23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-916-J06 3.13643 2.94549 0.666667 0 70 0 92
000_3.0 AG-915-E06 AG-916-M06 AG-903-D02 AG-918-L21 AG-893-N22 AG-917-I17 AG-920-K11 AG-359-E10 AG-920-O11 AG-903-K22 2.8474 2.70183 0.577778 28 60.6667 28 155
000_3.0 AG-915-E06 AG-916-M06 AG-903-D02 AG-905-A10 AG-912-F16 AG-918-L21 AG-893-N22 AG-920-K11 AG-359-E10 AG-903-K22 2.85018 2.6844 0.666667 0 70 0 182
000_3.0 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B04 AG-911-B23 AG-913-C03 AG-917-C08 AG-917-P07 AG-917-C11 AG-916-J06 3.13695 2.97557 0.688889 1 64.3333 17 81
000_3.0 AG-913-A04 AG-916-J06 AG-917-P07 AG-917-C11 AG-894-M23 AG-913-C03 AG-917-C08 AG-359-C09 AG-414-O11 AG-911-B04 3.13643 2.94513 0.601587 28 55.6667 43 86
